k(1,0)	v3	v2	v1	c1	c2	c3
0	-106.32	-46.58	-0.00	0.15	289.93	495.77
0.05	-109.41	-45.59	-16.47	20.63	291.25	497.14
0.1	-115.52	-44.37	-27.45	44.14	295.20	501.20
0.15	-118.76	-47.15	-30.32	69.73	301.71	507.76
0.2	-120.29	-52.42	-28.18	96.78	310.68	516.49
0.25	-121.59	-57.05	-25.38	124.83	321.99	527.03
0.3	-123.04	-60.59	-23.13	153.61	335.46	538.95
0.35	-124.68	-63.26	-21.79	182.91	350.89	551.88
0.4	-126.53	-65.35	-21.48	212.60	368.08	565.55
0.45	-128.55	-67.15	-22.23	242.56	386.82	579.83
0.5	-130.72	-68.89	-24.04	272.73	406.90	594.66
0.55	-133.04	-70.79	-26.86	303.04	428.15	610.06
0.6	-135.50	-73.00	-30.66	333.44	450.38	626.03
0.65	-138.15	-75.65	-35.38	363.90	473.45	642.60
0.7	-141.02	-78.82	-40.99	394.39	497.23	659.76
0.75	-144.14	-82.59	-47.44	424.88	521.59	677.50
0.8	-147.57	-87.01	-54.70	455.34	546.45	695.80
0.85	-151.36	-92.12	-62.73	485.76	571.72	714.63
0.9	-155.54	-97.93	-71.51	516.13	597.33	733.97
0.95	-160.16	-104.46	-81.01	546.43	623.21	753.78
1	-165.27	-111.72	-91.21	576.65	649.33	774.03
